プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少女リーザ,村人,峠の走り屋リーザだよ今日も三輪車で爆走だよ
プロローグ,少女リーザ,村人,宿帳があるよ■1.参加時間（コアタイム）■2.仮決定/本決定時間希望■3.やりたい事/やりたくない事□4.自己紹介
プロローグ,少女リーザ,村人,用語集だよ●：占い第一希望　○：占い第二希望▼：吊り第一希望　▽：吊り第二希望★：質問　☆：回答■：議題　□：任意　【】：CC等の重要な発言FO：自称占い師・自称霊能者全員が、自分の能力を宣言すること。通常は、狩人は含みませんCO：自称能力者（占い師・霊能者・狩人）が自分の能力を宣言すること
プロローグ,少女リーザ,村人,略称集だよ楽＝ゲルト / 長＝ヴァルター / 老＝モーリッツ / 神＝ジムゾン樵＝トーマス / 旅＝ニコラス / 者＝ディーター / 年＝ペーター妙＝リーザ / 商＝アルビン / 羊＝カタリナ / 屋＝オットー青＝ヨアヒム / 娘＝パメラ / 農＝ヤコブ / 宿＝レジーナ修＝フリーデル / 服＝エルナ / 書＝クララ / 兵＝シモン
プロローグ,少女リーザ,村人,はじまる前によく読んでおくといいかも人狼BBSまとめサイト→http://wolfbbs.jp
プロローグ,羊飼いカタリナ,人狼,■1.22時辺りからかしら…■2.1h前/30min前■3.婚活/ギスギス□4.めぇめぇ。羊毛刈るのに飽きためぇ。狼の毛でも刈ろうと思うの。
プロローグ,村娘パメラ,占い師,■1.昼メインの不定期■2.22:45/23:15■3.仲良く楽しく/流行り病とギスギス□4.パメラなのです！いつもと変わらない日常に飽き飽きしてたのでちょうど良いのです！よろしくなのです！僕も婚活したいのですー(੭ु ›ω‹ )੭ु
プロローグ,負傷兵シモン,狂人,村の明かりが見える…助かった
プロローグ,負傷兵シモン,狂人,■1.21時くらい■2.おまかせ■3.のびのびとしたやりとり/中傷はNG□4.シモンだ。温泉ツアーの最中はぐれてこの村に流れ着いた。よろしく頼む。
