プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,老人モーリッツ,人狼,わしのマークは大正○薬！
プロローグ,老人モーリッツ,人狼,わしの鳩さん調子悪い！続きは帰ってからじゃの。
プロローグ,旅人ニコラス,人狼,盆地の村にこんにちは！
プロローグ,旅人ニコラス,人狼,一旦村の外を見てくるよ。盆地の上に見晴らしのよさそうな場所があったしね～
プロローグ,司書クララ,村人,こんにちは、皆さん。よろしくお願いします
プロローグ,羊飼いカタリナ,村人,うとうと……
プロローグ,青年ヨアヒム,村人,いらっしゃいませ、盆地の村。ようこそ、盆地の村。
プロローグ,ならず者ディーター,村人,バキューン。
プロローグ,ならず者ディーター,村人,人狼？？ハッｗワロスｗｗｗ
プロローグ,シスターフリーデル,霊能者,盆地の村の皆さん　こんにちはよろしくお願いします
プロローグ,負傷兵シモン,占い師,はて…ここが盆地の村でよかったか？
プロローグ,負傷兵シモン,占い師,とりあえずまた夜になー
プロローグ,仕立て屋エルナ,村人,オレはジャイ○ンガキ大将
プロローグ,仕立て屋エルナ,村人,■１：コア時間■２：仮・本決定希望時間■３：その他なんでも自由に
プロローグ,仕立て屋エルナ,村人,■１：21:00-24:30■２：仮23:00 本23:30■３：昔は女ガキ大将として頑張っていたけど、今はのんびりと仕立て屋をやっているよ。得意だった歌はまだまだ現役でいけるぜ。ほげ～ほげ～
プロローグ,村長ヴァルター,人狼,盆地は熱いぞー！
プロローグ,司書クララ,村人,今夜から始まりそうですね。>>15の質問にお答えします。■１：21:00-24:30■２：仮23:00 本23:30でＯＫ■３：図書館に住むハードロッカーです。間違えて▼しちゃったらゴメンね
プロローグ,羊飼いカタリナ,村人,……Zzzz…………ふがっ
プロローグ,羊飼いカタリナ,村人,ふぁ〜…むにゃむにゃ……ん？あんけえと？■１：20:00〜25:00■２：あわせる。■３：いつも羊を数えてるうちに眠っちゃうんだけど、目が覚めるとなぜか増えたり減ったりしてます。ほわーい。
プロローグ,羊飼いカタリナ,村人,今日は羊っぽいけどもこもこしてる首の長いいきものがまぎれこんでましたが、なんなんでしょうかこいつ？地球外生物？
プロローグ,羊飼いカタリナ,村人,まぁ、いいや。もうひとねむりするか。羊が一匹、二匹、へんないきものいっぴき……Zzzz
プロローグ,老人モーリッツ,人狼,わしの箱さんノート型！箱前到着じゃの。
プロローグ,老人モーリッツ,人狼,■１：だいたい22:00からじゃの。夜明け前の数時間と夜明け後の数時間がコアじゃな。ここ以外でも時間が空けば見ることがあるがの。■２：仮23:00 本23:30■３：わしの髪の毛どこいったか誰か知らんかの？
プロローグ,老人モーリッツ,人狼,んじゃ、風呂に入ってくるでの。混浴らしいので誰か一緒に入らんかの？
プロローグ,老人モーリッツ,人狼,あ、そうそう。余計なお世話かもしれんが、プロで一発言しかしないと一日目になると失踪してしまうので、まだ一発言しかない人は発言するようにしてくれの。わかりきったことじゃと言われるかもしれんが念のため言っとくの。
プロローグ,村娘パメラ,村人,ごめんください。
プロローグ,村娘パメラ,村人,■１：夕方〜夜の空いてる時間。■２：夜明けに間に合えばいいよ。■３：村娘パメラが参りました。お入りください。ありがとう。
プロローグ,負傷兵シモン,占い師,■１：だいたい２１時ぐらいから■２：仮23：15　本23：45■３：おいっすー、まぁ、お手柔らかになーっと
プロローグ,負傷兵シモン,占い師,フルまで＠1って所か？まぁ、まったりとまつかねー。
プロローグ,少年ペーター,狩人,こんばんわ
プロローグ,少年ペーター,狩人,■１夜にいるよ■２おまかせです■３ペーター選手
プロローグ,少年ペーター,狩人,今日は00:15より前に寝ちゃうかも寝ちゃったら朝にあいさつに来るね
プロローグ,村長ヴァルター,人狼,もりじいありがとさんじゃ。ワシもがんばるぞい。
プロローグ,負傷兵シモン,占い師,ん、＠1じゃなかったか！？まぁ、たいして変わらんけどな！
プロローグ,青年ヨアヒム,村人,ふぅ。桜も咲き始めて春って感じだけど、夜になるとまだ少し寒さを感じるね。>>15 エルナ議題さんきゅーな。■1：21時から夜明けくらいまで。たまに午前中も居るかな。■2：22:30以降ならいつでも。皆に合わせるよ。■3：よあひーよあひー。
プロローグ,仕立て屋エルナ,村人,プロで１発言だと失踪するのか。オレのリサイタルから逃げ出されては困るな。ほげ～
プロローグ,宿屋の女主人レジーナ,狂人,Ｇの国だけあって、台所に黒いのがガサゴソいっぱい居るわねぇ（泣）
プロローグ,宿屋の女主人レジーナ,狂人,■１：遅くても22:30～更新過ぎまで。日中も覗くことがあるかも。■２：仮23:00/本23:30でどうかしら？■３：盆地の村の唯一の宿屋を経営してますレジーナよ。皆様よろしくお願いしますわ。
プロローグ,仕立て屋エルナ,村人,レジーナ＞これでみんな揃ったみたいだね。レジーナには人狼よりＧの退治をお願いしたい。ヨアヒム＞お安い御用だよ。もう発言してしまったから、オレのリサイタルからは逃げられない。
プロローグ,宿屋の女主人レジーナ,狂人,とりあえず、人が集まったら料理とお酒を出すのが女将のお約束よ。夜食に丁度良いものをとんとん、ぐつぐつ…つ【チャーハン】【お茶漬け】【サンドイッチ】【ラーメン】【たこ焼き】【おにぎり】つ【日本酒】【焼酎】【ワイン】【ビール】
プロローグ,青年ヨアヒム,村人,だいじょぶだ、エルナ！僕には旅の商人さんから貰ったステキ耳栓ってアイテムがある。逃げるつもりなんか無いさ。さ、こころおきなくリサイタルってくれ、きっと皆も聴いてくれる！
プロローグ,羊飼いカタリナ,村人,Zzzz……つ【ワイン】【サンドイッチ】【たこ焼き】（ずざー）
プロローグ,司書クララ,村人,ありがとう、レジーナ。でも、夜8時以降は太っちゃうから、あんまり食べないことにしているの。ちなみに、午前中はフルーツだけにしておいてね。
プロローグ,羊飼いカタリナ,村人,。○（じつはこのままパン屋も女将も来なかったら飢え死にしちゃうどうしようと心配だった。）
プロローグ,宿屋の女主人レジーナ,狂人,>>40エルナさんエルナさんが歌うと不思議な事にGがばたばたとひっくり返って行くの。おかげさまで定期的にリサイタルを開くだけでG退治不要なのよ。そろそろGの数も増えてきた事だし、リサイタルまたお願いしようかしら？[こっそりと耳栓をした]
プロローグ,ならず者ディーター,村人,■１：不明（不定期）■２：いつでも～ただあんまり長く起きてられない；■３：エルナの設定がｗｗｗｗ
プロローグ,羊飼いカタリナ,村人,つ【バ○サン】【ほうさんだんご】【中性洗剤】
プロローグ,負傷兵シモン,占い師,ﾘｯﾊﾟﾆｿﾀﾞﾃﾖ・・・ノ彡【癶(癶;:ﾟ;益;ﾟ;)癶】
プロローグ,羊飼いカタリナ,村人,>>49 ぎゃー（杖ぶんぶんぶん）
プロローグ,仕立て屋エルナ,村人,そこのヨアヒムとレジーナが何か装備したような気がしたんだが気のせいか。
プロローグ,仕立て屋エルナ,村人,ほげ～
プロローグ,宿屋の女主人レジーナ,狂人,>>44クララさんあら？夜中に食べてもしっかりとカロリー消費すれば大丈夫よ。私だって沢山食べているけどほら、こんなにほっそり！（ぷよよん…）>>45カタリナさんふふふ、料理人は一人は必要よね。
プロローグ,宿屋の女主人レジーナ,狂人,あ、窓ガラスにヒビが…
プロローグ,仕立て屋エルナ,村人,[次の日の朝、負傷兵 シモン が無残な姿で発見された。]
プロローグ,羊飼いカタリナ,村人,きゅう（ばったり）
プロローグ,負傷兵シモン,占い師,ｺﾏｸｶﾞ・・・ペット達も怯えている･･･
プロローグ,仕立て屋エルナ,村人,って、その>>49ガサゴソいってるのがシモンと勘違い
プロローグ,宿屋の女主人レジーナ,狂人,>>48カタリナさん、>>49シモンさんGの生命力を甘く見てはいけないわ！色々な対抗手段を取っても必ず生き残る奴がいるわよ。でもご安心。Gが恐竜時代からどれだけ進化しようともいままでこれに耐えられたGは居ないわ。[固く丸めた新聞紙で殴りつけた]……後片付けは誰かお願いね。
プロローグ,負傷兵シモン,占い師,どうやらこの宿が気に入ったらしい。それ、みんな元気に巣立て！ノ彡【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】【癶(癶;:ﾟ;益;ﾟ;)癶】
プロローグ,負傷兵シモン,占い師,>>59ﾋ､ﾋﾄﾞｲ！暴力反対！？
プロローグ,仕立て屋エルナ,村人,レジーナには残りも頼む>>60！
プロローグ,宿屋の女主人レジーナ,狂人,>>60シモンさん、>>62エルナさんか、数の暴力というやつね！でも女将に生まれて[検閲削除]年、私に任せて置きなさい！ぺしぺしぺしっ！あ、シモンさんの頭の上にもGが…ぺしっ！
プロローグ,宿屋の女主人レジーナ,狂人,ちっ、G達は数匹逃してしまったわ…みんな、人狼もそうだけどGにも気を付けなさい。口を開けて寝ていたら飛び込まれるわよ？
プロローグ,仕立て屋エルナ,村人,レジーナがこの村最強みたいだ女ガキ大将とかやっていたのは「井の中の蛙大海を知らず」だったようなので反省
